Category,Item,Serving Size,Price
Breakfast,Egg McMuffin,4.8 oz (136 g),13
Breakfast,Egg White Delight,4.8 oz (135 g),8
Breakfast,Sausage McMuffin,3.9 oz (111 g),23
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),23
Breakfast,"Bacon, Egg & Cheese Biscuit ",5.3 oz (150 g),26
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),28
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),15
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),38
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),25
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),19
Chicken & Fish,McChicken,5.1 oz (143 g),16
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),24
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),21
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),16
Chicken & Fish,Filet-O-Fish,5 oz (142 g),19
Snacks & Sides,Chipotle BBQ Snack Wrap ,4.6 oz (130 g),15
Snacks & Sides,Honey Mustard Snack Wrap ,4.3 oz (123 g),15
Snacks & Sides,Ranch Snack Wrap,4.5 oz (128 g),20
Snacks & Sides,French Fries (Small) ,2.6 oz (75 g),11
Snacks & Sides,French Fries (Medium),3.9 oz (111 g),16
Snacks & Sides,French Fries(Large) ,5.9 oz (168 g),24
Snacks & Sides,French Fries(Child),1.3 oz (38 g),5
Snacks & Sides,Side Salad,3.1 oz (87 g),0
Snacks & Sides,Apple Slices,1.2 oz (34 g),0
Snacks & Sides,Fruit 'n Yogurt Parfait,5.2 oz (149 g),2
Desserts,Baked Apple Pie,2.7 oz (77 g),13
Desserts,Chocolate Chip Cookie,1 cookie (33 g),8
Desserts,Oatmeal Raisin Cookie,1 cookie (33 g),6
Desserts,Kids Ice Cream Cone,1 oz (29 g),1.5
Desserts,Hot Fudge Sundae,6.3 oz (179 g),9
Desserts,Hot Caramel Sundae,6.4 oz (182 g),8
Desserts,Strawberry Sundae,6.3 oz (178 g),6
Beverages,Coca-Cola Classic (Small),16 fl oz cup,10
Beverages,Coca-Cola Classic (Medium),21 fl oz cup,10
Beverages,Coca-Cola Classic (Large),30 fl oz cup,10
Beverages,Coca-Cola Classic (Child),12 fl oz cup,10
Beverages,Diet Coke (Small),16 fl oz cup,10
Beverages,Diet Coke (Medium),21 fl oz cup,10
Beverages,Diet Coke (Large),30 fl oz cup,10
Beverages,Diet Coke (Child),12 fl oz cup,10
Beverages,Dr Pepper (Small),16 fl oz cup,10
Beverages,Dr Pepper (Medium),21 fl oz cup,10
Beverages,Dr Pepper (Large),30 fl oz cup,10
Beverages,Dr Pepper (Child),12 fl oz cup,10
Coffee & Tea,Iced Tea (Small),16 fl oz cup,14
Coffee & Tea,Iced Tea (Medium),21 fl oz cup,14
Coffee & Tea,Iced Tea (Large),30 fl oz cup,14
Coffee & Tea,Iced Tea (Child),12 fl oz cup,14
Coffee & Tea,Sweet Tea (Small),16 fl oz cup,14
Coffee & Tea,Sweet Tea (Medium),21 fl oz cup,14
Coffee & Tea,Sweet Tea (Large),30 fl oz cup,14
Coffee & Tea,Sweet Tea (Child),12 fl oz cup,14
Coffee & Tea,Coffee (Small),12 fl oz cup,14
Coffee & Tea,Coffee (Medium),16 fl oz cup,14
Coffee & Tea,Coffee (Large),16 fl oz cup,14
Coffee & Tea,Latte (Small),12 fl oz cup,17
Coffee & Tea,Latte (Medium),16 fl oz cup,10
Coffee & Tea,Latte (Large),20 fl oz cup,14
Coffee & Tea,Caramel Latte (Small),12 fl oz cup,9
Coffee & Tea,Caramel Latte (Medium),16 fl oz cup,10
Coffee & Tea,Caramel Latte (Large),20 fl oz cup,14
Coffee & Tea,Hazelnut Latte (Small),12 fl oz cup,9
Coffee & Tea,Hazelnut Latte (Large),20 fl oz cup,14
Coffee & Tea,Hazelnut Latte (Medium),16 fl oz cup,10
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),12 fl oz cup,28
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),16 fl oz cup,89
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),22 fl oz cup,54
Smoothies & Shakes,Strawberry Banana Smoothie (Small),12 fl oz cup,68
Smoothies & Shakes,Strawberry Banana Smoothie (Medium),16 fl oz cup,54
Smoothies & Shakes,Strawberry Banana Smoothie (Large),22 fl oz cup,64
Smoothies & Shakes,Mango Pineapple Smoothie (Small),12 fl oz cup,64
Smoothies & Shakes,Mango Pineapple Smoothie (Medium),16 fl oz cup,24
Smoothies & Shakes,Mango Pineapple Smoothie (Large),22 fl oz cup,35
